,Post,Horse,Win,Place,Show,Track,Year,Finish,Odds
277,6.0,Bodhisattva,,,,_Preakness_Stakes,2015,8,20.0
278,3.0,Halory Hunter,,,,_Kentucky_Derby,1998,4,6.6
279,10.0,Cape Town,,,,_Kentucky_Derby,1998,5,4.6
280,9.0,Parade Ground,,,,_Kentucky_Derby,1998,6,22.3
281,5.0,Hanuman Highway,,,,_Kentucky_Derby,1998,7,22.5
282,6.0,Favorite Trick,,,,_Kentucky_Derby,1998,8,4.4
283,1.0,Nationalore,,,,_Kentucky_Derby,1998,9,109.6
284,13.0,Old Trieste,,,,_Kentucky_Derby,1998,10,32.1
285,4.0,Chilito,,,,_Kentucky_Derby,1998,11,34.8
286,15.0,Robinwould,,,,_Kentucky_Derby,1998,12,69.8
287,11.0,Artax,,,,_Kentucky_Derby,1998,13,11.5
288,8.0,Rock and Roll,,,,_Kentucky_Derby,1998,14,50.6
289,14.0,Basic Trainee,,,,_Kentucky_Derby,1998,15,69.8
290,9.0,Prime Timber,,,,_Kentucky_Derby,1999,4,6.3
291,2.0,Excellent Meeting,,,,_Kentucky_Derby,1999,5,4.8
292,17.0,Kimberlite Pipe,,,,_Kentucky_Derby,1999,6,11.6
293,0.0,Worldly Manner,,,,_Kentucky_Derby,1999,7,14.5
294,16.0,K One King,,,,_Kentucky_Derby,1999,8,11.6
295,18.0,Lemon Drop Kid,,,,_Kentucky_Derby,1999,9,11.6
296,7.0,Answer Lively,,,,_Kentucky_Derby,1999,10,37.0
297,0.0,General Challenge,,,,_Kentucky_Derby,1999,11,4.8
298,14.0,Ecton Park,,,,_Kentucky_Derby,1999,12,11.6
299,6.0,Desert Hero,,,,_Kentucky_Derby,1999,13,19.7
300,5.0,Stephen Got Even,,,,_Kentucky_Derby,1999,14,5.1
301,15.0,Valhol,,,,_Kentucky_Derby,1999,15,11.6
302,10.0,First American,,,,_Kentucky_Derby,1999,16,34.9
303,3.0,Adonis,,,,_Kentucky_Derby,1999,17,18.7
304,12.0,Vicar,,,,_Kentucky_Derby,1999,18,8.2
305,4.0,Three Ring,,,,_Kentucky_Derby,1999,19,25.6
306,9.0,More Than Ready,,,,_Kentucky_Derby,2000,4,11.3
307,3.0,Wheelaway,,,,_Kentucky_Derby,2000,5,20.8
308,11.0,China Visit,,,,_Kentucky_Derby,2000,6,23.7
