,Finish,Post,Horse,Track,Year,Odds,Odds2
246,14th,10,The Deputy,_Kentucky_Derby,2000,4.6,4.60
247,15th,17,High Yield,_Kentucky_Derby,2000,6.2,6.20
248,16th,4,Hal's Hope,_Kentucky_Derby,2000,22.7,22.70
249,17th,12,Commendable,_Kentucky_Derby,2000,6.2,6.20
250,18th,19,Ronton,_Kentucky_Derby,2000,20.8,20.80
251,19th,13,Graeme Hall,_Kentucky_Derby,2000,46.3,46.30
252,1st,16,Monarchos,_Kentucky_Derby,2001,10.5,10.50
253,2nd,13,Invisible Ink,_Kentucky_Derby,2001,55,55.00
254,3rd,8,Congaree,_Kentucky_Derby,2001,7.2,7.20
255,4th,4,Thunder Blitz,_Kentucky_Derby,2001,25.4,25.40
256,5th,17,Point Given,_Kentucky_Derby,2001,1.8,1.80
257,6th,15,Jamaican Rum,_Kentucky_Derby,2001,20.2,20.20
258,7th,9,A P Valentine,_Kentucky_Derby,2001,19.9,19.90
259,8th,6,Express Tour,_Kentucky_Derby,2001,18.1,18.10
260,9th,5,Fifty Stars,_Kentucky_Derby,2001,43.6,43.60
261,10th,12,Startac,_Kentucky_Derby,2001,102.4,102.40
262,11th,2,Millennium Wind,_Kentucky_Derby,2001,9.9,9.90
263,12th,7,Artic Boy,_Kentucky_Derby,2001,101.2,101.20
264,13th,1,Songandaprayer,_Kentucky_Derby,2001,35.9,35.90
265,14th,3,Balto Star,_Kentucky_Derby,2001,8.3,8.30
266,15th,10,Dollar Bill,_Kentucky_Derby,2001,6.6,6.60
267,16th,14,Keats,_Kentucky_Derby,2001,95,95.00
268,17th,11,Talk Is Money,_Kentucky_Derby,2001,47.1,47.10
269,1st,5,War Emblem,_Kentucky_Derby,2002,20.5,20.50
270,2nd,13,Proud Citizen,_Kentucky_Derby,2002,23.3,23.30
271,3rd,3,Perfect Drift,_Kentucky_Derby,2002,7.9,7.90
272,4th,9,Medaglia d'Oro,_Kentucky_Derby,2002,6.9,6.90
273,5th,7,Request for Parole,_Kentucky_Derby,2002,29.8,29.80
274,6th,8,Came Home,_Kentucky_Derby,2002,8.2,8.20
275,7th,15,Harlan's Holiday,_Kentucky_Derby,2002,6,6.00
276,8th,1,Johannesburg,_Kentucky_Derby,2002,8.1,8.10
277,9th,8,Essence of Dubai,_Kentucky_Derby,2002,10,10.00
278,10th,16,Saarland,_Kentucky_Derby,2002,6.9,6.90
279,11th,20,Blue Burner,_Kentucky_Derby,2002,24.2,24.20
280,12th,12,Castle Gandolfo,_Kentucky_Derby,2002,14.5,14.50
281,13th,19,Easy Grades,_Kentucky_Derby,2002,43.8,43.80
282,14th,11,Private Emblem,_Kentucky_Derby,2002,22.4,22.40
283,15th,10,Lusty Latin,_Kentucky_Derby,2002,22.1,22.10
284,16th,18,It'sallinthechase,_Kentucky_Derby,2002,94.5,94.50
285,17th,6,Ocean Sound,_Kentucky_Derby,2002,48.7,48.70
286,18th,2,Wild Horses,_Kentucky_Derby,2002,58.5,58.50
287,1st,6,Funny Cide,_Kentucky_Derby,2003,12.8,12.80
288,2nd,12,Empire Maker,_Kentucky_Derby,2003,2.5,2.50
289,3rd,5,Peace Rules,_Kentucky_Derby,2003,6.3,6.30
290,4th,4,Atswhatimtalknbout,_Kentucky_Derby,2003,8.9,8.90
291,5th,13,Eye of the Tiger,_Kentucky_Derby,2003,41.5,41.50
292,6th,8,Buddy Gil,_Kentucky_Derby,2003,7.2,7.20
293,7th,15,Outta Here,_Kentucky_Derby,2003,39.7,39.70
294,8th,14,Ten Cents a Shine,_Kentucky_Derby,2003,37.2,37.20
295,9th,16,Ten Most Wanted,_Kentucky_Derby,2003,6.6,6.60
296,10th,11,Domestic Dispute,_Kentucky_Derby,2003,4,4.00
297,11th,17,Scrimshaw,_Kentucky_Derby,2003,16.5,16.50
298,12th,7,Offlee Wild,_Kentucky_Derby,2003,29.9,29.90
299,13th,1,Supah Blitz,_Kentucky_Derby,2003,43.1,43.10
300,14th,9,Indian Express,_Kentucky_Derby,2003,10.8,10.80
301,15th,10,Lone Star Sky,_Kentucky_Derby,2003,52.1,52.10
302,16th,2,Brancusi,_Kentucky_Derby,2003,29.3,29.30
303,1st,15,Smarty Jones,_Kentucky_Derby,2004,4.1,4.10
304,2nd,3,Lion Heart,_Kentucky_Derby,2004,5.4,5.40
305,3rd,10,Imperialism,_Kentucky_Derby,2004,10.9,10.90
306,4th,1,Limehouse,_Kentucky_Derby,2004,41.7,41.70
307,5th,11,The Cliff's Edge,_Kentucky_Derby,2004,8.2,8.20
308,6th,4,Action This Day,_Kentucky_Derby,2004,43.4,43.40
309,7th,14,Read the Footnotes,_Kentucky_Derby,2004,22.5,22.50
310,8th,13,Birdstone,_Kentucky_Derby,2004,21.2,21.20
311,9th,18,Tapit,_Kentucky_Derby,2004,6.4,6.40
312,10th,12,Borrego,_Kentucky_Derby,2004,14.2,14.20
313,11th,2,Song of the Sword,_Kentucky_Derby,2004,55.9,55.90
314,12th,8,Master David,_Kentucky_Derby,2004,10.6,10.60
